Municipality,Agriculture,CommercialServices,Domestic,Industry,PublicBuildings,PublicLighting,Total
Abrantes,4656667.0,33662133.0,37614196.0,85179243.0,5947706.0,6455031.0,182744823.0
Agueda,15014386.0,28991258.0,47378947.0,172805839.0,3795283.0,6674733.0,279951908.0
Aguiar da Beira,2584390.0,4025441.0,4751147.0,3172144.0,737983.0,1469991.0,18133211.0
Alandroal,2217670.0,4624320.0,6796624.0,2112970.0,645010.0,841351.0,18095569.0
Albergaria-a-Velha,3025180.0,16661390.0,23791495.0,127082981.0,2238858.0,3190198.0,179364334.0
Albufeira,9872355.0,205574704.0,104306096.0,19055036.0,6671394.0,9069177.0,361330713.0
Alcacer do Sal,6722359.0,27430966.0,15695842.0,25862775.0,2087318.0,1957548.0,81293885.0
Alcanena,4863757.0,21755856.0,13740706.0,29988235.0,1937398.0,2361129.0,76974668.0
Alcobaca,16404779.0,53830221.0,64844167.0,157071479.0,5482195.0,8074117.0,315370106.0
Alcochete,4977796.0,31928473.0,21569582.0,14387402.0,4729010.0,2013839.0,81991134.0
Alcoutim,156771.0,1544914.0,3432889.0,416073.0,974012.0,1007687.0,7818321.0
Alenquer,4485220.0,54816949.0,41722276.0,118194160.0,5805476.0,4660870.0,236110356.0
Alfandega da Fe,210340.0,2966089.0,4564431.0,489663.0,780440.0,1431302.0,11579381.0
Alijo,1274257.0,6756855.0,10051315.0,7736843.0,1554189.0,2444418.0,32133653.0
Aljezur,1492018.0,5887906.0,11083671.0,965146.0,1216869.0,1294408.0,23055830.0
Aljustrel,5424728.0,7132896.0,9899686.0,189957892.0,1626037.0,576521.0,215909809.0
Almada,822557.0,147177329.0,186437754.0,63029606.0,47609746.0,14238789.0,496329586.0
Almeida,256191.0,5185101.0,6634467.0,848015.0,1838025.0,2396143.0,18213025.0
Almeirim,8765262.0,16353710.0,23988967.0,18008023.0,1791417.0,1189318.0,74746505.0
Almodovar,230332.0,5238198.0,7798552.0,1440873.0,1135186.0,1297998.0,18039877.0
Alpiarca,5978997.0,4093190.0,8449654.0,23892489.0,1084832.0,574258.0,45516715.0
Alter do Chao,2238596.0,2029793.0,3804092.0,559731.0,843871.0,665338.0,10698998.0
Alvaiazere,268941.0,3367041.0,6290854.0,1187939.0,888192.0,1801378.0,15166829.0
Alvito,932121.0,1566197.0,2643617.0,6473255.0,478350.0,388240.0,12887284.0
Amadora,436443.0,158063064.0,127070513.0,115193891.0,16872612.0,9929798.0,489488910.0
Amarante,1810326.0,28790962.0,46481824.0,19875839.0,5489334.0,6389562.0,122694684.0
Amares,2090975.0,10547272.0,16681269.0,6866821.0,2165563.0,2766853.0,44861131.0
Anadia,3600662.0,17846293.0,30657450.0,71925449.0,5694734.0,4201088.0,138463240.0
Angra do Heroismo,1336685.0,44712064.0,37184618.0,23160079.0,3424458.0,2366304.0,112187906.0
Ansiao,658651.0,6913278.0,11076583.0,14368806.0,1503299.0,2791055.0,39295078.0
Arcos de Valdevez,362703.0,13436852.0,23340744.0,70816887.0,2599429.0,3786092.0,116059866.0
Arganil,1215512.0,17355107.0,11306496.0,18593943.0,3741402.0,2645854.0,56441607.0
Armamar,2352560.0,9998282.0,5897392.0,3082378.0,1014222.0,1477869.0,24823248.0
Arouca,1343568.0,8982051.0,20498093.0,13446944.0,1946192.0,3710395.0,52726143.0
Arraiolos,5222890.0,4644584.0,9393179.0,2984147.0,1093674.0,1018439.0,25383557.0
