Municipality,Agriculture,CommercialServices,Domestic,Industry,PublicBuildings,PublicLighting,Total
Abrantes,413771,1775311,7258694,2490204,356041,404456,77714437
Agueda,347981,5112374,7675649,88683184,524281,990253,90389480
Aguiar da Beira,483826,799735,824595,957195,70370,401334,8237055
Alandroal,275322,466310,414441,249742,60561,54999,9221375
Albergaria-a-Velha,96702,6979554,9981542,32908001,581851,642978,84990628
Albufeira,782322,47302355,7064055,7218423,92946,587983,92048084
Alcacer do Sal,1438466,3489991,9045069,4932963,736873,659786,2829166
Alcanena,766953,860120,7445277,8830255,592987,256665,4529458
Alcobaca,5643599,9961949,1481381,10563919,952726,961663,67565237
Alcochete,512393,7447403,5178387,5798209,120205,613281,9669878
Alcoutim,4648,254074,158849,46330,57524,82990,94415
Alenquer,877336,8247967,3770435,12164411,615689,349664,31446719
Alfandega da Fe,91120,396234,779,122276,71171,302238,1683818
Alijo,276995,616030,2937494,157029,186762,585987,760297
Aljezur,578646,407140,4184791,681752,88280,208863,5049472
Aljustrel,553501,404122,1977127,85042184,468457,92568,13037959
Almada,93852,42237776,24658197,960835,8020056,4355332,89081544
Almeida,92421,227917,511919,84766,580783,319520,7917326
Almeirim,958860,4282131,1905040,6147910,851913,333540,5479394
Almodovar,54970,715618,853774,740054,117932,132022,8914370
Alpiarca,254862,653381,281545,1403090,68083,87796,4048757
Alter do Chao,929473,699694,982123,61912,76531,30134,1579867
Alvaiazere,12157,148435,590470,393919,82536,682977,5810494
Alvito,116842,409917,503359,9119,88024,2318,1829579
Amadora,53321,39420254,67626715,14564731,5995183,2334638,87223848
Amarante,37411,6943038,5643890,421460,146521,830291,21022611
Amares,157074,336549,2715134,222082,88718,440371,5959928
Anadia,164134,5954148,7818075,88668,9539,554781,38589345
Angra do Heroismo,593119,4549840,861813,5263066,373776,776662,17418276
Ansiao,43322,970625,4588946,5923220,660025,610287,1296425
Arcos de Valdevez,8183,2172410,8020394,352235,96648,333971,6783841
Arganil,49606,377627,5221633,8807997,871603,504570,5633036
Armamar,279954,204759,315412,198139,23249,21686,4343199
Arouca,242350,518574,5623240,4724052,721689,935105,4765010
Arraiolos,402451,336554,1909355,166763,86192,91732,7193047
Arronches,437935,547175,516481,28478,134456,65015,929540
Arruda dos Vinhos,331177,377364,9384758,448194,147147,65237,8353877
Aveiro,909992,13672045,2401557,45169037,524658,662596,80371253
Avis,507701,912722,1165,7799134,47634,94470,862826
Azambuja,71008,315467,49802,1503589,988549,171159,57733527
Baiao,62228,505633,1885816,647563,368579,29210,4799029
Barcelos,392936,7630879,51623756,79885944,417357,3886281,45837153
Barrancos,7179,17821,904098,602976,43838,60023,565935
Barreiro,915358,9485971,2079300,2165304,83223,759411,10333774
Batalha,929749,6330216,1722979,4000526,110820,302594,7396884
Beja,8873121,5147350,6302009,803130,870112,242895,64238617
Belmonte,84200,893650,761618,653466,64004,50590,4907528
Benavente,9802427,1208924,2675678,4030858,466460,630219,53814566
Bombarral,246599,2424149,9559724,269725,30904,21558,3152659
Borba,745575,307166,514653,44771,64591,19138,3395894
Boticas,8828,324928,978591,73691,305443,401925,8113406
Braga,49318,21113194,32969381,83016843,2532181,4764537,66445454
Braganca,57594,2831790,1516074,9122019,633463,693445,15354385
Cabeceiras de Basto,45529,805099,7991862,694884,452508,528662,4720428
Cadaval,374999,7295072,630747,581980,97213,454563,1434574
Caldas da Rainha,948124,9724748,9338761,4223321,26740,232470,87494164
Calheta Acores,5492,482857,520402,903472,96962,2864,872049
Calheta Madeira,28714,818495,6812217,294983,600336,130915,6985660
Camara de Lobos,13926,3281421,1230452,1102105,583056,829690,6040650
Caminha,90909,1467053,8994438,112955,386918,849758,9202031
Campo Maior,236688,716524,3430422,5871093,117880,99099,4071706
