Municipality,Agriculture,CommercialServices,Domestic,Industry,PublicBuildings,PublicLighting,Total
Cantanhede,6374188,7049119,5416835,4643838,624542,564659,11673181
Carrazeda de Ansiaes,37974,541692,172706,315648,59724,90811,4318555
Carregal do Sal,943817,668595,1016320,571027,64796,419195,9483750
Cartaxo,40113,7835853,5338271,7453052,229881,425167,2322337
Cascais,519818,13649709,36144133,5289448,4528835,9304895,38653819
Castanheira de Pera,7429,845560,378841,907320,65148,56778,601076
Castelo Branco,87800,7529262,5167962,496753,868117,650959,85803040
Castelo de Paiva,72848,78103,7425779,4659447,21168,543503,2900848
Castelo de Vide,7181,124065,840974,589415,91824,99683,5453142
Castro Daire,78787,549300,6593847,360521,187446,899695,5169596
Castro Marim,78311,219457,5340507,6105058,590723,748993,3083049
Castro Verde,745920,686619,533086,74808978,368445,196299,91339347
Celorico da Beira,15850,45315,365834,602970,86409,549666,7866044
Celorico de Basto,70976,871529,9096646,6160231,570446,445118,5314946
Chamusca,528764,513391,2353604,7858669,105852,338139,7698419
Chaves,593459,8718471,490172,3037611,295432,733042,14868187
Cinfaes,17968,281148,901348,746453,864967,100484,3012368
Coimbra,18708,73645120,96115073,99674799,2747334,6740851,41266967
Condeixa-a-Nova,29846,736835,9350756,6291718,109338,91866,6810359
Constancia,39340,481012,196519,9245493,673027,11251,1946642
Coruche,659216,695317,5458096,6803321,361175,715606,2974021
Corvo,25774,49933,96801,9915,2001,6000,560424
Covilha,825940,2539351,7046548,3464923,258172,105441,97275725
Crato,82880,616737,689138,255006,44624,17931,106316
Cuba,153408,286892,194167,548094,84268,22873,7289702
Elvas,224354,6939336,434544,852340,160772,761533,1372879
Entroncamento,190,2741038,4592081,50295,586581,619559,2793677
Espinho,17908,1382814,1779664,8724686,557457,905824,7577572
Esposende,608974,2724231,2430016,1370170,182841,333684,14649916
Estarreja,4718545,4772989,2063993,63029156,761706,297367,54416071
Estremoz,309554,4266293,8756228,42170,691386,83294,7748925
Evora,517697,2077559,8344159,2055147,825869,4354,71845109
Fafe,25745,5827027,8880158,8225026,815370,15524,42088850
Faro,908925,8896616,2956731,6610537,801830,616886,49793913
Felgueiras,610812,1056969,7722019,5960187,778976,361904,77490867
Ferreira do Alentejo,7899605,253910,755255,7683100,35590,52172,8479632
Ferreira do Zezere,556562,372646,2662262,4947406,98276,316562,3653714
Figueira da Foz,220730,47765,1902277,235248684,877245,787978,410192793
Figueira de Castelo Rodrigo,50906,937180,686467,459504,21783,829100,4484940
Figueiro dos Vinhos,5327,895492,979333,38665,8938,727094,4614849
Fornos de Algodres,74182,849575,309136,827445,31025,116398,1807761
Freixo de Espada a Cinta,53866,386247,597886,641336,3592,99017,381944
Fronteira,441713,633310,506913,56995,40212,39523,418666
Funchal,29800,99268024,18724851,3654764,1065512,5719537,68862488
Fundao,106206,4736351,55446,5127364,878961,856483,5768645
Gaviao,22080,929425,949349,342756,34629,52849,131088
Gois,8287,945337,464715,117829,62380,553508,1142056
Golega,913850,522181,950886,628941,246822,65597,7728277
Gondomar,523211,1332984,13210921,2655308,567277,2539732,90829433
Gouveia,84046,893271,5245611,181145,639533,878969,2322575
Grandola,294083,5652283,9899783,667763,33790,573772,4121474
Guarda,347910,3375176,356543,93505,903024,285143,69703311
Guimaraes,579769,57806572,92333600,73825379,219778,1801750,45566848
Horta,19015,8036682,8389797,585261,96749,560364,5987868
Idanha-a-Nova,400231,858362,2529018,449627,749128,259111,1245477
Ilhavo,5853569,3241688,537355,22335573,936459,150213,28054857
Lagoa,378050,6481096,3606101,208673,870569,28302,28572791
Lagoa Acores,37692,3142042,4948096,437001,76355,259893,1201079
Lagos,975516,8945217,7476737,3765456,928434,734001,53850109
Lajes das Flores,2205,244360,717984,48335,66722,95700,295306
Lajes do Pico,1316,128238,818038,852664,44852,52709,2947817
Lamego,45300,1086614,7572015,5742398,438649,480796,3365772
Leiria,58022,31081032,78039360,5992761,2505152,3748639,61424966
Lisboa,547422,409798394,43337801,48648671,56468502,8965056,693834267
Loule,661642,63426848,18536138,2012533,819371,2878667,78335199
Loures,732882,24169829,20716644,59113328,1033727,7129206,41914840
Lourinha,375106,7527687,764358,4035480,592593,297914,2593138
Lousa,9996,262661,1812186,1183857,474977,775584,6119261
Lousada,89287,7074446,7606886,3838735,933083,419054,13573726
Macao,954120,623208,885807,630054,231775,234752,5559716
Macedo de Cavaleiros,38671,127089,8986759,756958,278018,414171,2501666
Machico,66294,7611806,1619551,479497,223958,512315,9813421
Madalena,7210,999945,472147,535182,239419,72122,1016025
Mafra,804772,7249238,28151325,7107690,944991,8304,72270573
Maia,975190,74708225,88029989,4807265,409634,1477197,323942268
Mangualde,79258,3111917,2318252,30610945,872984,681727,78760443
Manteigas,818,64520,34524,61715,23407,94904,882888
Marco de Canaveses,14489,3483201,8443048,2706507,814993,542746,45904984
Marinha Grande,88946,2651340,3552621,31577258,312968,231269,26514402
Marvao,79481,887998,863274,88225,12124,75561,1706663
Matosinhos,902161,70373772,38786066,79733442,6739750,5512288,28047479
Mealhada,527739,4493516,3622881,827648,495798,370845,5377093
Meda,92002,555620,996431,266107,80234,39991,1630385
Melgaco,1814,888486,1812467,885444,771549,551339,2011099
Mertola,47977,879025,372453,100811,253430,522498,7076194
Mesao Frio,7610,746153,979463,65311,52284,16027,256848
Mira,551608,47831,9587999,795438,433649,49883,466408
Miranda do Corvo,35691,683372,4858401,979790,265595,963305,5886154
Miranda do Douro,70845,198728,713089,385711,962245,404287,4834905
Mirandela,6927,9745230,9560311,900524,186992,480324,5483775
Mogadouro,21479,862775,917254,37751,183845,490193,5713297
Moimenta da Beira,69516,993004,2843776,724505,235980,174684,2941465
Moita,533379,4431022,9921403,6004112,325935,183798,30399649
Moncao,7202,2916683,5871048,8579551,592883,378991,2646358
Monchique,37000,82211,840570,12291,85102,64785,2221959
Mondim de Basto,17011,225379,781181,459663,25818,47248,5156300
Monforte,114480,398403,815815,959124,85980,88448,1462250
Montalegre,2659,776544,2173799,559830,471073,89074,3922979
Montemor-o-Novo,684652,5412425,5913025,7684456,414904,94247,1803709
Montemor-o-Velho,27823,2735890,671951,887179,770132,824546,9917521
Montijo,3572992,5138205,6212559,1745433,78056,899939,4310502
Mora,346999,297830,204013,677869,307879,51274,9085864
Mortagua,34174,720071,1101462,528209,297670,817361,3426397
Moura,526865,85003,9380157,7350668,521937,75200,3739830
Mourao,79408,139697,913253,8264,60441,52121,253184
Murca,1540,507700,326042,765882,54529,308900,2964593
Murtosa,364265,632667,4812795,878293,72108,994738,6454866
Nazare,448290,5247549,3411391,8978700,254602,105936,2446468
Nelas,92165,476529,5553906,70725466,977150,560687,98985903
Nisa,43942,824230,575423,15062,190168,15321,7964146
Nordeste,79434,565014,987927,93863,30035,5359,461632
Obidos,100209,9230344,5163081,2509344,734745,132701,6870424
Odemira,3979732,1143085,5679040,515731,759571,211729,1288888
Odivelas,78290,8572561,55665664,4880849,126180,427874,77272071
Oeiras,868298,5502225,18325489,8314140,5327132,3351082,19137326
Oleiros,1869,245653,540558,6602486,14424,838483,7103473
Olhao,718079,6197150,3705441,98782,655819,72972,22448243
Oliveira de Azemeis,671884,409052,9794852,41253952,872562,620918,84623220
Oliveira de Frades,828122,312690,1632703,4840456,495758,511973,9621702
Oliveira do Bairro,581150,7018064,6855934,3588693,169020,383795,43596656
Oliveira do Hospital,79462,1633680,4220482,992333,478250,536823,2741030
Ourem,566137,2972051,9285458,1376245,310751,208821,67724045
Ourique,771950,199184,214614,226612,77992,50344,8940696
Ovar,771950,9719966,1144841,26784,688157,752403,32104101
Pacos de Ferreira,59133,7524407,7184986,8620945,382285,9877,19364101
Palmela,798478,1422451,691183,80736218,533039,61312,67336357
Pampilhosa da Serra,3196,157017,806937,9549,75506,539039,1551244
Paredes,617913,620228,7837290,8589252,87129,143337,43895149
Paredes de Coura,60795,48287,823515,672003,12286,149603,4866489
Pedrogao Grande,64131,593722,434514,55875,34440,75932,5158614
Penacova,49899,316463,5914488,3674084,640210,797887,7593031
Penafiel,604353,91920,403636,4339544,958722,542274,10982388
Penalva do Castelo,48319,297427,838040,716680,532487,549576,7282529
Penamacor,15885,51496,801042,831859,68995,661264,4530541
Penedono,8750,183870,478456,96851,19936,24424,552287
Penela,68824,510958,936187,251503,5733,21394,9694599
Peniche,235204,391994,487746,6222184,353995,513591,8204714
Peso da Regua,83437,1820104,7185844,553468,291724,879580,7121518
Pinhel,30071,373378,968618,317848,552110,448640,3490665
Pombal,218496,668001,1487879,3858818,2564529,646921,63536506
Ponta Delgada,406015,4639108,1176271,9723430,255315,119120,33319259
Ponta do Sol,58363,529607,660696,660363,77439,620944,2807412
Ponte da Barca,9464,964021,3345981,670804,257942,600762,5908974
Ponte de Lima,18390,5641715,2709590,2296763,113280,729119,11308857
Ponte de Sor,887974,3859779,1146591,2022057,766750,621951,5305102
Portalegre,7012,8474866,1767870,252600,101587,634598,19838533
Portel,619779,19108,776933,2775065,534682,61865,87432
Portimao,2256969,899812,4470459,7814733,370611,4328,29816912
Porto,834135,75418715,32274168,5495210,8619116,417128,135768395
Porto de Mos,879576,4706654,3039210,3673250,365631,375532,41039853
Porto Moniz,5807,469510,978896,9367,434743,930722,939045
Porto Santo,2302,2811493,176301,758234,437394,542828,3748552
Povoa de Lanhoso,14750,1749341,7463404,3354077,201596,399559,5782727
Povoa de Varzim,258463,7868531,4794593,8593667,548242,689228,99449703
Povoacao,90440,408669,948442,89401,44094,60891,6141937
Proenca-a-Nova,40933,23353,996229,948373,317351,818092,1144331
Redondo,779050,912489,988189,259197,60804,11979,2711708
Reguengos de Monsaraz,195100,634800,6599206,354690,499826,23660,4814047
Resende,300,637449,584170,670307,643531,624990,1260747
Ribeira Brava,28266,962501,3962141,920690,92829,444452,2310879
Ribeira de Pena,507,833527,996724,368524,7048,546253,5562583
Ribeira Grande,642099,9068861,461242,4084174,40238,479105,775719
Rio Maior,390477,8605080,9241538,6486485,672010,758448,70168313
Sabrosa,955367,233546,464462,789653,58714,12598,7014340
Sabugal,40636,827465,4790541,249277,724944,709632,1842495
Salvaterra de Magos,1100292,5739313,6541897,785139,332883,740554,4240078
Santa Comba Dao,65102,586872,3457482,669450,90565,738401,9407872
Santa Cruz,21963,8617583,6000000,3530096,466123,30527,31666292
Santa Cruz da Graciosa,27770,749107,816422,52559,66599,91252,3003709
Santa Cruz das Flores,885,242864,932542,97632,16026,13841,809790
Santa Maria da Feira,708287,290183,75734286,53951122,397106,380178,45461162
Santa Marta de Penaguiao,2019,86137,526054,282060,29280,139126,2614676
Santana,65042,539243,400000,510512,671307,352710,9638814
Santarem,3699751,8514055,4739655,25747757,84690,421385,93207293
Santiago do Cacem,2649212,3485943,791620,9482882,734854,891369,24035880
Santo Tirso,417982,704965,284128,61710891,574794,898294,12591054
Sao Bras de Alportel,33226,505868,873000,573019,239387,555284,5979784
Sao Joao da Madeira,6825,9131262,6619889,7058139,824322,193158,8879686
Sao Joao da Pesqueira,192088,538940,316556,561681,358643,74629,8042537
Sao Pedro do Sul,96127,698055,8051708,1419963,165335,775365,6206553
Sao Roque do Pico,6738,277888,913957,676160,91261,22151,898155
Sao Vicente,61054,401284,900000,86489,47214,546675,6342716
Sardoal,56049,86566,660918,44773,74671,4775,727752
Satao,925819,440021,3380297,725659,309431,593760,8374987
Seia,96066,5137298,7031981,7391264,347555,270464,5874628
Seixal,21533,10641366,98338091,19739887,5835312,2857740,57933929
Sernancelhe,75979,587811,628440,158968,43794,15039,7610031
Serpa,2375255,631861,9170861,3916480,713840,453586,6261883
Serta,962957,446842,8980064,2288030,147267,623993,7449153
Sesimbra,111970,6828324,1785228,2768205,763321,35657,47292705
Setubal,905125,8720303,53081252,99772463,43179,1325589,287853632
Sever do Vouga,10407,97097,4418851,402888,82373,331517,3443133
Silves,1624718,3349958,2521798,4417045,942142,15151,61870812
Sines,268580,4229516,8267163,61285083,254976,997445,201302763
Sintra,509904,46154825,41939760,33335765,3322188,612030,79151200
Sobral de Monte Agraco,92169,528727,4894382,274826,41977,54818,8786899
Soure,93269,695649,2253433,4042608,637814,168496,724063
Sousel,731329,460456,570668,708969,72612,91153,35295
Tabua,1485,728746,4458057,10869,658774,691275,5149206
Tabuaco,15827,889360,614068,635253,86314,52626,2393448
Tarouca,92115,332176,883345,429794,290943,63298,191671
Tavira,822528,754910,5461891,1865746,289615,462096,12656786
Terras de Bouro,6073,855561,4797,528456,28539,397352,8670778
Tomar,571021,3703561,5226696,5823888,449965,781389,30556520
Tondela,174901,5007610,1122015,4024861,910334,5955,14245676
Torre de Moncorvo,80394,974085,563173,8094691,446823,211631,4670797
Torres Novas,946723,4034842,7992425,62684527,791784,738668,69188969
Torres Vedras,3069528,2726207,12903113,7414088,330326,682807,27126069
Trancoso,31208,515969,1108091,246418,89168,571663,4862517
Trofa,204116,887573,2280311,6663950,950274,242336,98238527
Vagos,18452,6352997,858728,615659,474726,248876,2269438
Vale de Cambra,20183,894018,7004823,1693159,681892,385306,5879381
Valenca,928695,2290271,8518884,5623645,714419,7227,2087483
Valongo,761062,6641526,22294926,5410023,256371,19810,74383888
Valpacos,5243,234801,101709,70665,39679,619074,271171
Velas,83582,242143,754382,402873,15259,13380,6311619
Vendas Novas,853366,1294164,6308520,3695933,253814,23634,4929431
Viana do Alentejo,534080,717506,548933,181157,13202,18255,7813133
Viana do Castelo,200210,6193843,16803058,79371021,193524,924689,90686345
Vidigueira,220708,862628,762479,6874477,11935,15025,47252
Vieira do Minho,1435,164341,4968084,1281654,15050,341491,4742055
Vila da Praia da Vitoria,56901,8097672,5149676,655648,872966,927362,6360225
Vila de Rei,16268,38754,507833,30675,196994,14256,504780
Vila do Bispo,49283,716668,6727418,88077,247024,225875,1554345
Vila do Conde,87834,9310698,8650422,59165495,388539,357622,65960610
Vila do Porto,92725,103321,756202,450629,650719,404698,9558294
Vila Flor,374742,412330,58387,648080,281800,499683,275022
Vila Franca de Xira,441790,27053216,42024955,87335702,1319003,1094011,21972996
Vila Franca do Campo,91684,629114,307334,253903,22898,25415,430348
Vila Nova da Barquinha,95945,583508,129114,865933,952764,267883,8695147
Vila Nova de Cerveira,738031,348013,3390719,1504584,764685,674252,420284
Vila Nova de Famalicao,915671,2654887,69269015,77309235,294315,2626256,78069625
Vila Nova de Foz Coa,81692,833490,234509,133762,127813,943969,955235
Vila Nova de Gaia,860103,76054987,28182090,4348195,6390848,4702304,152854636
Vila Nova de Paiva,56356,509595,205675,57796,605481,34151,2569054
Vila Nova de Poiares,8296,29662,139997,65903,67234,7722,2468814
Vila Pouca de Aguiar,24950,2560361,6107368,6991613,290163,232896,307351
Vila Real,336906,5340747,4185846,8142170,4785175,698125,52488969
Vila Real de Santo Antonio,21328,8466564,3729327,435704,45199,760955,4491199
Vila Velha de Rodao,578574,478078,609817,48329791,77994,49347,60623601
Vila Verde,897251,3973716,5712227,6382828,41652,403863,20411537
Vila Vicosa,406859,232258,1573330,5339925,564842,84755,6501969
Vimioso,1574,735944,735911,52547,713560,54794,334330
Vinhais,3194,422327,232324,549458,741129,654754,8693186
Viseu,948554,6355800,30377855,9931457,4054668,5464908,21133242
Vizela,57652,5008234,7198506,2322720,390030,73378,8250520
Vouzela,94941,124509,1613559,766869,365552,99261,4364691
