Municipality,Agriculture,CommercialServices,Domestic,Industry,PublicBuildings,PublicLighting,Total
Portimao,6871775,91783934,92280796,18019249,7295257,7023959,223274970
Porto,2396801,472282101,431167788,96079309,108425399,22590824,1139132802
Porto de Mos,1252068,35943903,31591630,55609932,4563914,3520344,132481791
Porto Moniz,44787,2127295,2775944,59432,1424465,2947016,9378939
Porto Santo,22107,11034149,6869407,10552631,1258193,1579021,31315508
Povoa de Lanhoso,624915,12043497,26360139,13060600,1236024,3646907,56972082
Povoa de Varzim,5180958,67311914,82587278,21774730,4703080,8737631,190295591
Povoacao,657455,5746941,6587781,880767,422506,845379,15140829
Proenca-a-Nova,1020771,3142700,9195421,3483277,1301735,2911556,21055460
Redondo,1785264,6458110,9711267,3161968,546009,348127,22010745
Reguengos de Monsaraz,1113384,8750831,15890176,8612973,1539169,681684,36595823
Resende,116554,4524407,10141866,2819708,1587222,1834315,21024072
Ribeira Brava,147534,7453062,13352157,2145898,645021,5631298,29374970
Ribeira de Pena,12539,4854805,7368651,2525916,1306795,1635820,17704526
Ribeira Grande,3516109,17702315,29136317,41697327,1133839,2832395,96018302
Rio Maior,8660928,18111501,27326758,95717971,4119423,2289421,156226002
Sabrosa,1549694,2538576,6169351,4415790,872429,1178348,16724188
Sabugal,692628,6103190,13958078,5730322,2179510,1875830,30539558
Salvaterra de Magos,10597635,16351336,32540475,6521131,2502776,2048228,70561581
Santa Comba Dao,766722,6978149,13187612,4568182,1068859,1735041,28304565
Santa Cruz,1027069,36178428,44008244,36436001,3480886,9241863,130372491
Santa Cruz da Graciosa,327653,3484644,4550515,3157737,419401,715895,12655845
Santa Cruz das Flores,6990,1072538,1743287,163116,213853,245750,3445534
Santa Maria da Feira,6671407,82216726,172565983,324666855,6848783,12754461,605724215
Santa Marta de Penaguiao,61188,1890286,6307820,2250752,522023,1282850,12314919
Santana,136564,3974735,7158064,1139901,1637483,4348076,18394823
Santarem,11641197,61141249,81233841,123057713,6733499,6702539,290510038
Santiago do Cacem,11629315,22060850,38685394,37753514,2764095,5146740,132488859
Santo Tirso,2298262,65900741,91470090,240193937,5881651,2540977,408285658
Sao Bras de Alportel,178959,7072031,20419364,4205043,1406150,1630300,34911847
Sao Joao da Madeira,85568,30460588,26370448,45630838,4134890,3080752,109770101
Sao Joao da Pesqueira,2132155,2572090,8084077,2485818,1351694,1194212,17820046
Sao Pedro do Sul,1886224,9651702,16825970,9253615,2052055,3337450,43007016
Sao Roque do Pico,17280,1975514,4473448,1593391,258639,779411,9097683
Sao Vicente,139503,3995764,5872537,573751,650776,4478858,15711189
Sardoal,389974,1163984,4849888,1021268,599436,910167,8934717
Satao,2162424,4594568,12756652,5918037,1230552,1900373,28562606
Seia,668525,20166478,26305790,13093164,2224148,5237516,67695621
Seixal,503062,108387621,188896753,854715524,14874600,12400959,1179778519
Sernancelhe,802850,4102603,6066329,4644301,877554,1702510,18196147
Serpa,24240084,7829086,18190754,31340081,1805081,1670706,85075792
Serta,1529450,9133814,18214157,20450687,1663093,3941537,54932738
Sesimbra,1164759,36809966,76744549,12812773,8650593,6200018,142382658
Setubal,6107022,108548686,146423942,932346299,11111665,11715353,1216258055
Sever do Vouga,957764,6254019,14425721,7709778,750265,2557774,32655321
Silves,10614073,43228930,68185522,24403985,5023704,5084398,156540612
Sines,1086810,42644134,81698482,1071908028,3982481,2190037,1203509972
Sintra,3220769,244524475,422982733,222567982,22693556,29123659,945402137
Sobral de Monte Agraco,744910,5890105,14162384,6256933,863992,535963,28454287
Soure,1663050,6863081,20675814,11848317,3498434,3536110,68809072
Sousel,5302432,2507659,8172986,1670857,1168165,577491,19399660
Tabua,537878,5514748,13648467,9479696,1610771,2790422,33581982
Tabuaco,630510,2014452,5668558,2485700,1212739,952815,12964774
Tarouca,892801,7523553,8353195,1291522,1366638,810175,20237884
Tavira,3306676,30082987,53409404,10680629,2878567,4793633,105151896
Terras de Bouro,48817,5015473,7805534,3540033,965926,1510110,18885893
Tomar,9784847,23734659,52726806,41095512,4397616,2251130,133990570
Tondela,6755736,15413768,30358268,54740209,2888497,4304101,114460579
Torre de Moncorvo,354253,3968936,9573746,27261960,1739435,1808396,44706726
Torres Novas,4089356,43999963,46329472,160926669,6387077,4785264,266517801
Torres Vedras,13354792,91822032,105764747,96347287,4347620,6358994,317995472
Trancoso,742416,4753119,10398083,5057821,190963,2744008,23886410
Trofa,1091096,40755899,50762396,91372253,1958318,5617159,191566627
Vagos,692264,13394591,30120454,37361399,1454280,3327489,86350477
Vale de Cambra,257042,10685928,26925845,61027648,3512828,2521424,104930715
Valenca,1801372,11731465,18034849,14851519,1633045,2171714,50226973
Valongo,11318434,67532225,118779038,64256991,5485257,3177853,270549972
Valpacos,315374,7291314,19479526,6332862,2697280,4649490,40765846
Velas,253055,3736646,6172056,4573513,97881,581628,15414779
Vendas Novas,1643008,11758943,15782896,13228500,1160942,640854,44215143
Viana do Alentejo,3955791,2771422,8223838,1165972,505828,287686,16910537
Viana do Castelo,2632830,73346224,116117963,374688038,4996803,10902836,582684694
Vidigueira,3317329,3701063,10333954,25235225,966780,621113,44175464
